Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Dušo","Hava","Dušo","Deutsch","Playlist","DEQ022391342","2SeAVXkFIKPadWuXfGLmU0"
"Normal","Hava","Normal","Deutsch","Playlist","DEQ022372182","3pyZgbg3uC8NlBQ3E81zlb"
"Pse","Dardan","Pse","Deutsch","Playlist","DEQ022383594","3r7sw5soVrbMM5jX6ScvYX"
"Sag mir nicht","Hava","Sag mir nicht","Deutsch","Playlist","DEQ022373123","371MFG2sPTPhC9b3LQXmiv"
"VERBOTENE LIEBE","Lune","MONDSCHEIN","Deutsch","Playlist","DEA622100651","4LydDOpeEA4ZcXLHW9VHw5"
"Ja sagen","Hava","Ja sagen","Deutsch","Playlist","DEQ022374427","2ehr9UaqyQOXJihoJ7lg3l"
"2011","Dardan","Emerald","Deutsch","Playlist","DEWZ12100011","44IkrAeQhRxZpuyshIeVEW"
"Ona Nije Ja :)","Hava","Kein Märchen","Deutsch","Playlist","DEQ022375077","31amrn8pcJgRbe357Z3LiC"
"Another Vibe (feat. Omah Lay)","Luciano","Seductive","Deutsch","Playlist","DECE72400058","1sNQMj0Dq0UHrryEQqP4OY"
"Pistoleta","Olexesh","Pistoleta","Deutsch","Playlist","DEVY22400014","7ciTcePUxWjBbaouXk7Bvf"
"Baile (feat. Amo, Haaland936 & Kauta)","Rap La Rue","Baile (feat. Amo, Haaland936 & Kauta)","Deutsch","Playlist","DEKF22400055","6p5snXqHBtG6rjO7bwiGZT"
"Egal","Rap La Rue","Egal","Deutsch","Playlist","DEKF22400050","6zF5LE8eK9Bf98UwLVe8Du"
"Substanzen (feat. Aymen, Jiyo & ilo 7araga)","Rap La Rue","Substanzen (feat. Aymen, Jiyo & ilo 7araga)","Deutsch","Playlist","DEKF22400079","1EypcNrXUoHSv6siw5FNPi"
"Champions League (feat. Haaland936, Aymen & Amo)","Rap La Rue","Champions League (feat. Haaland936, Aymen & Amo)","Deutsch","Playlist","DEKF22301414","7gQwzl8rXRpe0rTOTU5pyb"
"malade","Rap La Rue","malade","Deutsch","Playlist","DEKF22400384","7ltRwr9d32MnqHLsWMCXNM"
"Vorbei","Rasa","Vorbei","Deutsch","Playlist","QZK6K2489898","7xq0ZfsN1ZjYcmdE5FYjWk"
"Amo aller Amos","Amo","Amo aller Amos","Deutsch","Playlist","DEKF22400630","7eBo7oeGFWJ9GlL1Me6NuV"
"Take it","Jazeek","Take it","Deutsch","Playlist","DECE72302808","0ya0fBUHF1TKookyKM5ZVQ"
"Superstars","Jazeek","Superstars","Deutsch","Playlist","DECE72302049","3dgOu83QnvkooEa4Jz2Msr"
"Mary","Jazeek","1709","Deutsch","Playlist","DECE72201775","2FZMqWofNW3jH2MoHjFYH3"
"Diamond Ring","Jazeek","Diamond Ring","Deutsch","Playlist","DECE72300600","4AzR20u5TiZVR4932QbGTt"
"Blue Porsche (feat. Niska)","Luciano","Blue Porsche (feat. Niska)","Deutsch","Playlist","DECE72303912","3gOVMei7c4BD6oIfed24dc"
"Baile Funk im Blut","Jazeek","Baile Funk im Blut","Deutsch","Playlist","DECE72302487","75DdaV9r56VZiSpXh8fsUY"
"GHETTOGIRL","CAPO","GHETTOGIRL","Deutsch","Playlist","DEA622100271","3idbCPumlga23rxFA08fZE"
"Do you lie","Jazeek","Do you lie","Deutsch","Playlist","DECE72400766","6xLxMr7gbDdz7VWSx0IBt7"
"SOMMER 19","Nimo","NIMORIGINAL","Deutsch","Playlist","DEUM71906146","0jASP7JV6Jj6EvheoTJnQh"
"Coco Chanel","Jiyo","Coco Chanel","Deutsch","Playlist","DEKF22400749","33w8uhoFjr7Y9FkzHDf94f"
"Pa Mu","Dardan","Pa Mu","Deutsch","Playlist","DEA622401065","6aCAQmJMBHve3Tfelte1HR"
"cOcO MAmA","Dardan","cOcO MAmA","Deutsch","Playlist","DEWZ11900011","0oOPa0AlLnjCO6eci0HIdH"
"kAdaLe","Dardan","kAdaLe","Deutsch","Playlist","DEWZ11900021","18VRnJOBksZVjCwwvMazA3"
"gENAuSo","Dardan","SORRY...","Deutsch","Playlist","DEWZ11900030","5nmVf5dSgH4A25qsev28Mi"
"Malli","Dardan","Malli","Deutsch","Playlist","DEQ022391329","5obtXG3NaPZykEFPWRPTPo"
"D A YYY T O N A","Dardan","D A YYY T O N A","Deutsch","Playlist","DEWZ12000001","5Bj9rLRVpf5xxQwhlyOOeh"
"NaNa","Lune","NaNa","Deutsch","Playlist","DEKF22400408","6HB7JuxWRjLL3JXI9ECzhK"
"Komm in meine Arme","Lune","Komm in meine Arme","Deutsch","Playlist","DEKF22301159","2cJsBA3fbleMmnlveGVBlo"
"Nautilus","Shindy","Drama","Deutsch","Playlist","DEXH31800010","4qOTcNt9fUBA1PhA2VFg8W"
