Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"La Dolce Vita","After Dark","La Dolce Vita","Swedish","Playlist","SEMDA0400401","5QQz3p0cnmlOYsfyAmgwkw"
"Fyra Bugg & en Coca-Cola","Lotta Engberg","Fyra bugg & en Coca-Cola","Swedish","Playlist","SEPQM0610789","4UuKT9xgMQQUPD3VWRGLJb"
"Vi drar till fjällen","Markoolio","Sticker hårt","Swedish","Playlist","SEVGT0405102","4IxxFoYgZJ7tGoklB6UCOr"
"Dansa i neon","Lena Philipsson","Dansa i neon","Swedish","Playlist","SEPQM0610012","0jZ4fre462hosE6k5EgRVS"
"This Is The Way - Radio Edit","E-Type","Made In Sweden","Swedish","Playlist","SEBKA9425040","1BBIW3lDfwK9PXOFOedZmo"
"Picadilly Circus","Pernilla Wahlgren","Pernilla Wahlgren","Swedish","Playlist","SEAMA8531040","4prmEJ4F7lHcBeumKk2PhH"
"Vem vet?","Lisa Ekdahl","Lisa Ekdahl","Swedish","Playlist","SEAMA9381010","0oKOAL9nhFMieApXNLYkZ8"
"Komplicerat","Ant Wan","The Only Wan","Swedish","Playlist","TCAGF2210561","7ofOfhBu0FCuVemv4zL8Ry"
"Dum","Ant Wan","The Only Wan (Deluxe)","Swedish","Playlist","TCAGN2227622","1PcFYA0p9UxvQkLe18s8gz"
"Hey Baby","Lamix","Hey Baby","Swedish","Playlist","SEBGA1700186","6tqV3r11AD8w5nrpyLtsxo"
"Ankare","Lamix","Ankare","Swedish","Playlist","SEBGA1701028","00ISNjqq27aOPyyQAbeDnb"
"Gå & fiska!","Gyllene Tider","Konstpaus","Swedish","Playlist","SEAME9627020","0qOaBijMN2tDbSDogOmhYC"
"Värsta grymma tjejen","Magnus Uggla","Den tatuerade generationen","Swedish","Playlist","SEBGA0407010","2y4xigAglMGjn9WW8eRA7b"
"Kung för en dag","Magnus Uggla","Uggla Box","Swedish","Playlist","SEVBS9701020","1DzYDC7LD4dyKSp0AeLj63"
"Tusen och en natt","Charlotte Perrelli","Take Me To Your Heaven","Swedish","Playlist","SEPQM0611154","6JIwvW8ioos5KFp0Q0mS3Y"
"X","Miss Li","X","Swedish","Playlist","SE5HK2022170","3Tp6XRivI85TAfpgja9ILh"
"Late","Amanda Aasa","Late","Swedish","Playlist","SE5BU2018503","7wrcZm0n6Id8XrA5m9PqCt"
"En värld full av strider (feat. Aninia) - Eatneme gusnie jeenh dåaroeh","Jon Henrik Fjällgren","En värld full av strider (feat. Aninia) [Eatneme gusnie jeenh dåaroeh]","Swedish","Playlist","SEBGA1602949","7lVYacTM1U7n6mdsruLoUN"
"In i en ny värld","Annika Herlitz","Frost 2 (Svenskt Original Soundtrack/Deluxe Edition)","Swedish","Playlist","USWD11994931","1V1PZd7RMzMSX9Og6wznnz"
"Tappat","Victor Leksell","Tappat","Swedish","Playlist","SEBGA1803041","2jPCvYRyIXQf2if8CTyabC"
"Jag finns kvar","Poets","We are Poets","Swedish","Playlist","USWD10220751","1xzdilEWhJR5JwNIc95onA"
"Chanslös","Julia Adams","Chanslös","Swedish","Playlist","SEVQI1500801","32zBhjfmA3u1Yn84f5TxIz"
"En Vinternatt","Farväl till ungdomen","En Vinternatt","Swedish","Playlist","SEYOL1604401","7KpX6L5kymAUqzjR0WPUjN"
"Rygg mot rygg","Molly Sandén","Rygg mot rygg","Swedish","Playlist","SE4T41700101","0cccQnHmOjKIFued6rsfKG"
"Herr Mannelig","Garmarna","Guds Spelemän","Swedish","Playlist","SELIA9601010","2ovD5JwItQasZDVBJgarfK"
"Tror Du Att Han Bryr Sig","Benjamin Ingrosso","Tror Du Att Han Bryr Sig","Swedish","Playlist","SEWEE1800801","1ODyGSzjAYmJ7PvrrnRgHB"
"Kär i din kärlek (Recorded at Spotify Studios Stockholm)","Molly Sandén","Spotify Singles (Recorded at Spotify Studios Stockholm)","Swedish","Playlist","SE4T41800110","0jy5qTrMlMXXZEx9MLiETy"
"Den första är alltid gratis","Veronica Maggio","Den första är alltid gratis","Swedish","Playlist","SEUM71600463","5barc5pR0YG8wm2Kecqxyz"
